,n_voters,acc_gold,std_gold,acc_heuristic,std_heuristic,acc_borda,std_borda
69,70,0.8553496712492528,1.1102230246251565e-16,0.8179916317991631,1.1102230246251565e-16,0.8589360430364614,0.0
70,71,0.8553657074340528,1.1102230246251565e-16,0.8181954436450839,0.0,0.8586630695443646,0.0
71,72,0.8604930847865304,0.0,0.8196031268791341,0.0,0.8580877931449187,1.1102230246251565e-16
72,73,0.8546441495778045,0.0,0.8187575392038602,1.1102230246251565e-16,0.8575090470446319,1.1102230246251565e-16
73,74,0.8545069570477919,0.0,0.8191167574107683,0.0,0.8594978826376286,0.0
74,75,0.863622572815534,0.0,0.8190230582524272,0.0,0.8611953883495145,1.1102230246251565e-16
75,76,0.855143031040779,0.0,0.7980827754108339,1.1102230246251565e-16,0.8598600121728545,1.1102230246251565e-16
76,77,0.8513431013431013,0.0,0.7973137973137974,0.0,0.8585164835164834,1.1102230246251565e-16
77,78,0.8557868952847519,0.0,0.7980710349050827,0.0,0.8585425597060624,0.0
78,79,0.8628685503685503,1.1102230246251565e-16,0.8192567567567568,0.0,0.8602579852579852,0.0
79,80,0.8525878003696856,1.1102230246251565e-16,0.8025261860751695,0.0,0.8621380160197166,0.0
80,81,0.8597033374536466,1.1102230246251565e-16,0.8220024721878862,0.0,0.8621755253399257,1.1102230246251565e-16
81,82,0.861128332300062,0.0,0.8205207687538747,1.1102230246251565e-16,0.8586484810911346,0.0
82,83,0.8583644278606964,1.1102230246251565e-16,0.8210509950248757,0.0,0.861318407960199,0.0
83,84,0.8445102932002495,0.0,0.8195570804741109,1.1102230246251565e-16,0.8601060511540861,0.0
84,85,0.8538798498122653,0.0,0.8183667083854818,1.1102230246251565e-16,0.8623279098873592,0.0
85,86,0.849654739485248,0.0,0.8171688637790332,1.1102230246251565e-16,0.8615819209039548,0.0
86,87,0.8641372795969773,0.0,0.8225755667506297,0.0,0.8614609571788414,1.1102230246251565e-16
87,88,0.8627605811749841,1.1102230246251565e-16,0.8224889450410613,0.0,0.8611813013265952,1.1102230246251565e-16
88,89,0.865019011406844,1.1102230246251565e-16,0.8206590621039289,1.1102230246251565e-16,0.8621673003802283,1.1102230246251565e-16
89,90,0.8602987921169738,1.1102230246251565e-16,0.8224729815638907,0.0,0.8630006357279084,0.0
90,91,0.8534757653061223,1.1102230246251565e-16,0.8212691326530612,0.0,0.8622448979591837,0.0
91,92,0.8565259117082533,0.0,0.8214971209213052,0.0,0.8646833013435702,1.1102230246251565e-16
92,93,0.8525353016688062,0.0,0.8191591784338896,0.0,0.8608793324775353,0.0
93,94,0.8527044430135222,0.0,0.817933032839665,1.1102230246251565e-16,0.8622021893110109,0.0
94,95,0.8585271317829457,0.0,0.8194444444444444,0.0,0.8619186046511628,0.0
95,96,0.8588788075178224,0.0,0.8198314970836034,0.0,0.8613091380427738,1.1102230246251565e-16
96,97,0.8530559167750326,0.0,0.8194083224967489,1.1102230246251565e-16,0.861183355006502,0.0
97,98,0.8604044357469014,1.1102230246251565e-16,0.8201239399869535,1.1102230246251565e-16,0.8633398564905415,0.0
98,99,0.8656740837696335,0.0,0.8221531413612565,0.0,0.863383507853403,1.1102230246251565e-16
99,100,0.8642481943532502,0.0,0.8225541694024952,1.1102230246251565e-16,0.8626066973079448,0.0
100,101,0.8641304347826086,0.0,0.8222990777338604,0.0,0.8624835309617918,1.1102230246251565e-16
101,102,0.8509583608724387,1.1102230246251565e-16,0.8184071381361534,1.1102230246251565e-16,0.8605419695968275,0.0
102,103,0.8564323607427056,0.0,0.8187997347480106,0.0,0.8607427055702918,0.0
103,104,0.8627744510978044,0.0,0.8203592814371257,1.1102230246251565e-16,0.8609447771124417,1.1102230246251565e-16
